head	relation_type	term	term_key	zh_or_note	raw
abolish	family	abolition	abolition	n. 废除	abolition | n. 废除 | abolition of slavery | 废除奴隶制
abolish	family	abolitionist	abolitionist	n. 废除主义者	abolitionist | n. 废除主义者 | abolitionist movement | 废奴运动
abolish	family	abolished	abolished	adj. 被废除的	abolished | adj. 被废除的 | abolished regulation | 被废除的规定
abolish	kin	polish	polish	v./n. 擦亮；润色	polish | v./n. 擦亮；润色 | polish an essay / polish silverware | 润色文章；擦亮银器
abolish	kin	demolish	demolish	v. 拆除；摧毁	demolish | v. 拆除；摧毁 | demolish unsafe buildings / demolish an argument | 拆除危房；驳倒论点
abolish	kin	establish	establish	v. 建立	establish | v. 建立 | establish standards / establish a company | 建立标准；创办公司
eliminate	family	elimination	elimination	n. 消除；淘汰	elimination | n. 消除；淘汰 | elimination of barriers | 消除障碍
eliminate	family	eliminated	eliminated	adj. 被淘汰的	eliminated | adj. 被淘汰的 | eliminated candidate | 被淘汰的候选人
eliminate	family	eliminating	eliminating	adj. 消除性的	eliminating | adj. 消除性的 | eliminating measure | 消除性措施
eliminate	kin	limit	limit	n./v. 限制	limit | n./v. 限制 | legal limit / limit screen time | 法律限制；限制屏幕时间
eliminate	kin	preliminary	preliminary	adj. 初步的	preliminary | adj. 初步的 | preliminary results / preliminary exam | 初步结果；预备考试
eliminate	kin	liminal	liminal	adj. 阈限的；过渡的	liminal | adj. 阈限的；过渡的 | liminal space / liminal stage | 阈限空间；过渡阶段
aboriginal	family	aborigine	aborigine	n. 原住民	aborigine | n. 原住民 | Australian Aborigine | 澳大利亚原住民
aboriginal	family	aboriginality	aboriginality	n. 原住民性	aboriginality | n. 原住民性 | cultural aboriginality | 文化原住民性
aboriginal	family	aboriginally	aboriginally	adv. 原初地	aboriginally | adv. 原初地 | aboriginally inhabited land | 原住民最初居住的土地
aboriginal	kin	origin	origin	n. 起源；出身	origin | n. 起源；出身 | cultural origin / origin of species | 文化起源；物种起源
aboriginal	kin	original	original	adj./n. 原始的；原创	original | adj./n. 原始的；原创 | original design / original inhabitants | 原创设计；原住民
aboriginal	kin	indigenous	indigenous	adj. 本土的；原住民的	indigenous | adj. 本土的；原住民的 | indigenous culture / indigenous species | 原住民文化；本土物种
indigenous	family	indigene	indigene	n. 原住民	indigene | n. 原住民 | indigene community | 原住民社区
indigenous	family	indigeneity	indigeneity	n. 原住民性	indigeneity | n. 原住民性 | cultural indigeneity | 文化本土性
indigenous	family	indigenize	indigenize	v. 本土化	indigenize | v. 本土化 | indigenize education | 使教育本土化
indigenous	kin	gene	gene	n. 基因	gene | n. 基因 | gene flow / gene pool | 基因流动；基因库
indigenous	kin	genesis	genesis	n. 起源	genesis | n. 起源 | cultural genesis / genesis of conflict | 文化起源；冲突起源
indigenous	kin	genuine	genuine	adj. 真正的	genuine | adj. 真正的 | genuine concern / genuine evidence | 真正关切；真实证据
abrupt	family	abruptly	abruptly	adv. 突然地	abruptly | adv. 突然地 | abruptly end | 突然结束
abrupt	family	abruptness	abruptness	n. 突然；生硬	abruptness | n. 突然；生硬 | abruptness of change | 变化的突然性
abrupt	family	abrupt-ending	abrupt-ending	adj. 突然结束的	abrupt-ending | adj. 突然结束的 | abrupt-ending policy | 突然结束的政策
abrupt	kin	rupture	rupture	n./v. 破裂	rupture | n./v. 破裂 | social rupture / rupture a pipe | 社会断裂；弄破管道
abrupt	kin	interrupt	interrupt	v. 打断	interrupt | v. 打断 | interrupt learning / interrupt supply chains | 打断学习；中断供应链
abrupt	kin	erupt	erupt	v. 喷发；爆发	erupt | v. 喷发；爆发 | volcanoes erupt / protests erupt | 火山喷发；抗议爆发
sudden	family	suddenly	suddenly	adv. 突然地	suddenly | adv. 突然地 | suddenly collapse | 突然崩塌
sudden	family	suddenness	suddenness	n. 突然性	suddenness | n. 突然性 | suddenness of change | 变化的突然性
sudden	family	all-of-a-sudden	all-of-a-sudden	adv. 突然地	all-of-a-sudden | adv. 突然地 | all-of-a-sudden rise | 突然上升
sudden	kin	suddenness	suddenness	n. 突然	suddenness | n. 突然 | suddenness of change / suddenness of attack | 变化的突然性；攻击的突然性
sudden	kin	sodden	sodden	adj. 湿透的	sodden | adj. 湿透的 | sodden clothes / sodden ground | 湿透的衣服；湿透的地面
